Date,Holiday,State,Status
15-08-2026,Independence Day,Tripura,Closed
02-10-2026,Mahatma Gandhi Jayanti,Tripura,Closed
10-10-2026,Mahalaya,Tripura,Closed
18-10-2026,Maha Saptami,Tripura,Closed
19-10-2026,Maha Ashtami,Tripura,Closed
20-10-2026,Maha Navami,Tripura,Closed
21-10-2026,Vijaya Dasami,Tripura,Closed
25-10-2026,Lakshmi Puja,Tripura,Closed
08-11-2026,Deepawali,Tripura,Closed
25-12-2026,Christmas,Tripura,Closed
03-01-2026,Hajarat Ali's Birthday,Uttar Pradesh,Closed
26-01-2026,Republic Day,Uttar Pradesh,Closed
15-02-2026,Maha Shivaratri,Uttar Pradesh,Closed
03-03-2026,Holika Dahan,Uttar Pradesh,Closed
04-03-2026,Holi,Uttar Pradesh,Closed
21-03-2026,Eid al-Fitr,Uttar Pradesh,Closed
27-03-2026,Shri Ram Navami,Uttar Pradesh,Closed
31-03-2026,Mahavir Jayanti,Uttar Pradesh,Closed
01-04-2026,Yearly Closing of Bank Accounts,Uttar Pradesh,Closed
03-04-2026,Good Friday,Uttar Pradesh,Closed
01-05-2026,Buddha Purnima,Uttar Pradesh,Closed
27-05-2026,Eid al-Adha,Uttar Pradesh,Closed
26-06-2026,Muharram,Uttar Pradesh,Closed
15-08-2026,Independence Day,Uttar Pradesh,Closed
25-08-2026,Eid-e-Milad,Uttar Pradesh,Closed
28-08-2026,Raksha Bandhan,Uttar Pradesh,Closed
04-09-2026,Krishna Janmashtami,Uttar Pradesh,Closed
02-10-2026,Mahatma Gandhi Jayanti,Uttar Pradesh,Closed
20-10-2026,Maha Navami,Uttar Pradesh,Closed
21-10-2026,Dussehra,Uttar Pradesh,Closed
08-11-2026,Deepawali,Uttar Pradesh,Closed
09-11-2026,Govardhan Puja,Uttar Pradesh,Closed
11-11-2026,Bhai Dooj,Uttar Pradesh,Closed
24-11-2026,Guru Nanak Jayanti,Uttar Pradesh,Closed
25-12-2026,Christmas,Uttar Pradesh,Closed
26-01-2026,Republic Day,Uttarakhand,Closed
15-02-2026,Maha Shivratri,Uttarakhand,Closed
04-03-2026,Holi,Uttarakhand,Closed
21-03-2026,Eid al-Fitr,Uttarakhand,Closed
27-03-2026,Ram Navami,Uttarakhand,Closed
01-04-2026,Annual Closing of Bank Accounts,Uttarakhand,Closed
03-04-2026,Good Friday,Uttarakhand,Closed
14-04-2026,Dr B R Ambedkar Jayanti,Uttarakhand,Closed
01-05-2026,Buddha Pournima,Uttarakhand,Closed
27-05-2026,Eid al-Zuha,Uttarakhand,Closed
15-08-2026,Independence Day,Uttarakhand,Closed
25-08-2026,Eid-e-Milad,Uttarakhand,Closed
04-09-2026,Janmashtami,Uttarakhand,Closed
02-10-2026,Mahatma Gandhi Jayanti,Uttarakhand,Closed
21-10-2026,Vijaya Dashami,Uttarakhand,Closed
08-11-2026,Deepawali,Uttarakhand,Closed
24-11-2026,Guru Nanak's Birthday,Uttarakhand,Closed
25-12-2026,Christmas,Uttarakhand,Closed
12-01-2026,Birthday of Swami Vivekananda,West Bengal,Closed
23-01-2026,Saraswati Puja / Sree Panchami,West Bengal,Closed
23-01-2026,Birthday of Netaji Subhas Chandra Bose Jayanti,West Bengal,Closed
26-01-2026,Republic Day,West Bengal,Closed
03-03-2026,Doljatra,West Bengal,Closed
21-03-2026,Eid al-Fitr,West Bengal,Closed
03-04-2026,Good Friday,West Bengal,Closed
14-04-2026,Dr B R Ambedkar Jayanti,West Bengal,Closed
15-04-2026,Bengali New Year,West Bengal,Closed
01-05-2026,Buddha Purnima,West Bengal,Closed
01-05-2026,May Day / Labour day,West Bengal,Closed
09-05-2026,Rabindranath Tagore Jayanti,West Bengal,Closed
27-05-2026,Eid al-Zuha,West Bengal,Closed
26-06-2026,Muharram,West Bengal,Closed
15-08-2026,Independence Day,West Bengal,Closed
02-10-2026,Mahatma Gandhi Jayanti,West Bengal,Closed
10-10-2026,Mahalaya,West Bengal,Closed
18-10-2026,Durgapuja Saptami,West Bengal,Closed
19-10-2026,Durgapuja Astami,West Bengal,Closed
20-10-2026,Durgapuja Nabami,West Bengal,Closed
21-10-2026,Vijaya Dashami,West Bengal,Closed
25-10-2026,Lakshmi Puja,West Bengal,Closed
08-11-2026,Kalipuja,West Bengal,Closed
24-11-2026,Birth Day of Guru Nanak,West Bengal,Closed
25-12-2026,Christmas,West Bengal,Closed
,"Nationalized/PSU Banks: Closed 
Private Sector Banks: Open",PAN INDIA,Closed
